13.5;4:23:26;12:27:42;20:31:58;16:08:30;
14.5;4:21:34;12:27:43;20:33:51;16:12:15;
15.5;4:19:45;12:27:44;20:35:43;16:15:57;
16.5;4:17:57;12:27:45;20:37:34;16:19:36;
17.5;4:16:12;12:27:48;20:39:24;16:23:11;
18.5;4:14:29;12:27:50;20:41:12;16:26:43;
19.5;4:12:48;12:27:54;20:42:59;16:30:11;
20.5;4:11:10;12:27:57;20:44:45;16:33:35;
21.5;4:09:34;12:28:02;20:46:30;16:36:55;
22.5;4:08:00;12:28:06;20:48:12;16:40:11;
23.5;4:06:30;12:28:12;20:49:53;16:43:23;
24.5;4:05:02;12:28:17;20:51:33;16:46:31;
25.5;4:03:36;12:28:23;20:53:10;16:49:33;
26.5;4:02:14;12:28:30;20:54:46;16:52:31;
27.5;4:00:54;12:28:37;20:56:19;16:55:24;
28.5;3:59:38;12:28:44;20:57:51;16:58:12;
29.5;3:58:24;12:28:52;20:59:20;17:00:55;
30.5;3:57:14;12:29:00;21:00:46;17:03:32;
31.5;3:56:06;12:29:09;21:02:11;17:06:04;
1.6;3:55:02;12:29:17;21:03:33;17:08:30;
2.6;3:54:01;12:29:27;21:04:52;17:10:50;
3.6;3:53:04;12:29:36;21:06:08;17:13:04;
4.6;3:52:10;12:29:46;21:07:22;17:15:12;
5.6;3:51:19;12:29:56;21:08:33;17:17:13;
6.6;3:50:32;12:30:06;21:09:41;17:19:07;
7.6;3:49:49;12:30:17;21:10:46;17:20:56;
8.6;3:49:09;12:30:28;21:11:47;17:22:37;
9.6;3:48:33;12:30:39;21:12:46;17:24:12;
10.6;3:48:00;12:30:50;21:13:41;17:25:40;
11.6;3:47:31;12:31:02;21:14:32;17:27:00;
12.6;3:47:06;12:31:13;21:15:20;17:28:14;
13.6;3:46:45;12:31:25;21:16:05;17:29:19;
14.6;3:46:28;12:31:37;21:16:46;17:30:17;
15.6;3:46:15;12:31:49;21:17:24;17:31:08;
16.6;3:46:05;12:32:01;21:17:57;17:31:51;
17.6;3:45:59;12:32:13;21:18:27;17:32:27;
18.6;3:45:58;12:32:25;21:18:53;17:32:54;
19.6;3:46:00;12:32:38;21:19:16;17:33:15;
20.6;3:46:06;12:32:50;21:19:34;17:33:27;
21.6;3:46:16;12:33:02;21:19:48;17:33:31;
22.6;3:46:30;12:33:14;21:19:59;17:33:29;
23.6;3:46:47;12:33:26;21:20:06;17:33:18;
24.6;3:47:09;12:33:38;21:20:08;17:32:59;
25.6;3:47:34;12:33:50;21:20:07;17:32:32;
26.6;3:48:03;12:34:02;21:20:02;17:31:58;
27.6;3:48:35;12:34:14;21:19:53;17:31:17;
